run_id,benchmark,replicate,seed,best,len_final,cpu_s
b85d4a4a-0d76-4947-949f-ce786e86cc7d,Koza,0,2125612306,1.273324,12,3208.9587
82a459c6-09ec-467a-8ce0-bc2123daa3e0,Koza,1,431747381,0.482155,11,4262.3088
509c9412-fbfb-49fa-8bce-782e64e6afc2,Koza,2,2141030034,1.273324,12,4320.3591
02e15da8-e865-46ee-af2f-e58dcedd6d20,Koza,3,47657774,1.273324,12,3599.2626
fbc370a0-bac8-4658-bf38-2e77e4bea94d,Koza,4,858119897,1.273324,12,3865.9141
bcbca2c2-2ca1-4bcd-aeee-508844f1d671,Koza,5,764065333,1.273324,12,4329.7505
765f9136-4216-487a-adc1-d4de03659827,Koza,6,839020356,1.273324,8,4343.1719
4139af76-d9d8-4e79-ab88-d3160f740e9c,Koza,7,1804755417,1.273324,11,3219.4032
447aec90-0296-4ac5-b416-145e7efb22f3,Koza,8,781010178,1.273324,10,3204.4418
44c648dc-1be1-429a-bd27-3a73844013b1,Koza,9,285329057,0.482155,12,3474.2803
64a3bad3-6e45-493d-a4ba-4a1176ef1902,Koza,10,1823431709,0.648743,12,3290.604
e9eadbb0-d0dd-4f2d-ab01-43001fb88158,Koza,11,302733222,1.273324,10,3169.3193
7cc3ac6f-6be3-4516-a907-d8f05c913598,Koza,12,1243589944,1.273324,10,3510.9457
23825455-66a8-45d1-a612-1559eb87413c,Koza,13,1622658696,0.482155,12,2416.6592
2a317f9d-e23b-4f77-8539-f19e1b68e1c7,Koza,14,1683786381,1.273324,11,3724.968
1671360b-e173-4858-806b-be85c8543942,Koza,15,1090929449,0.482155,12,4139.2548
127b29ca-d273-4df5-8605-e1e35f6184b5,Koza,16,1852856882,1.273324,11,3152.6952
c32c3b06-e123-4777-87c5-56a713a317b2,Koza,17,294024027,0.482155,11,3640.1882
607cb678-8df0-4c68-a705-7ad175d59912,Koza,18,1543625897,1.273324,12,3794.5358
67ebecc3-0f31-4797-880d-0e65a5ecce4e,Koza,19,1932974316,1.273324,10,3005.1138
8360f7c4-6a35-4e02-a3b0-90b3f3ad6d06,Koza,20,384410297,1.273324,12,2959.6613
b3cf7f22-cd53-464a-92c0-aaac0ebd99b6,Koza,21,220788153,1.929542,12,3254.6008
8c340359-c6f3-4b34-9f34-ab56a4ce94f0,Koza,22,1388506160,1.273324,10,3461.6805
801d3a63-891e-462c-a3ea-ef1adc8e0e46,Koza,23,998127175,3.250379,11,2753.8071
96ff325b-5197-4a65-be9b-5f4f969b82bb,Koza,24,1587409166,0.482155,12,4184.9543
e61767e3-bcb9-4c66-a66d-e47f519c6316,Koza,25,906306823,1.273324,12,4554.9497
8f017649-38fb-43e6-b05e-9452c262f10b,Koza,26,392123180,0.0,12,4237.2208
bdae7f9f-c66c-4c19-9a24-c005ca9077c4,Koza,27,406036470,1.273324,10,4495.8051
e570c6e9-2b80-4ac9-af17-336dc59b6c7c,Koza,28,1689735142,0.0,12,3919.4111
399607e8-0c91-4a3d-975a-f90c35e96812,Koza,29,324187991,1.929542,10,3075.9749
490828d1-ef94-403d-bd9a-2ac58f4f946e,Parity,0,953960589,16,65,373.6545
250a5846-6838-4aea-8018-7973b987db83,Parity,1,2076139397,4,63,390.5817
441b2ceb-f8ea-4b62-be56-8e0ac757638a,Parity,2,2039352866,24,64,401.8574
a4aad85e-f801-4c58-923a-e54c5d728100,Parity,3,1878495242,16,63,456.8387
ae68f9f8-aac4-4b13-91f6-466d8920e06b,Parity,4,140842644,16,65,450.9798
7921a198-1603-4a08-a4d9-8801fc31416d,Parity,5,1980064237,0,66,321.4308
fbcedc99-023d-4bd8-9b4b-ce5ef6338949,Parity,6,1914068233,20,66,315.5957
c4d43084-7e58-44c0-a05b-5721e5bdbefb,Parity,7,43351887,24,64,421.0353
34d203f7-7290-4519-b95e-96d3861ccc6d,Parity,8,1176634175,24,64,473.1149
b6aac938-f479-4769-bec1-ced5122b5e91,Parity,9,1918336074,16,65,372.5228
a0cbea40-14cd-4a58-89e4-4506814ac814,Parity,10,1845114100,0,66,317.5459
29be5f2c-df5c-446c-b4e0-08f7edd3f612,Parity,11,1364332731,16,65,371.7825
8a49413a-7431-4b37-8e7b-0229c0529353,Parity,12,1562646121,16,65,464.0218
9ae72bbe-dedb-4504-895b-c1425cd9cef5,Parity,13,630676981,0,64,458.6013
0a608339-1221-40fa-8a87-4c78e5cf00c7,Parity,14,1445006154,16,63,297.3048
2fcde107-cc3d-4d33-95b3-6014a61a9b83,Parity,15,81763529,24,66,314.1694
c8e49f63-3ec1-4d92-86b0-e082da922d53,Parity,16,1847857284,16,64,314.9792
798585d4-b67e-4cb5-81d3-8202666fde03,Parity,17,612017126,26,64,344.8591
de050818-4dae-44ab-8ce0-50a9fb315001,Parity,18,1627129549,28,62,363.5613
2ffd99a5-77bc-4a2c-ab03-11ff39291f27,Parity,19,1523011042,16,65,436.9453
64bea341-5ce2-4ef4-a075-6e25ab4d0a73,Parity,20,560849621,19,63,514.9871
2d80b6fa-43dd-48b9-9197-4fb7695349a7,Parity,21,1706311937,24,62,319.8517
d2b2def2-26cf-4954-b0f6-3f0cd030849e,Parity,22,262629435,10,64,518.6403
cc733777-aa33-40b4-810c-a0325d4149c4,Parity,23,1147107822,16,63,386.1264
b65870b6-fb50-40ca-98f1-3b091de052d4,Parity,24,1311990981,16,65,434.4274
a6216118-4576-45f6-8cc8-1048cdcd33d9,Parity,25,2087505152,16,63,457.264
6524e09b-c7cf-4469-b799-31557c9714bc,Parity,26,1179451091,16,63,402.3222
bf57c301-929b-49c5-85e4-b0da027cab10,Parity,27,173027886,0,65,257.77
069887ee-dade-4281-ab9b-3a1609628d96,Parity,28,220463488,0,65,416.2788
9a9ccf2b-63b7-450d-82c2-a616eb23376e,Parity,29,1208409494,16,63,542.448
5fcd5bda-01a6-40a3-a938-ce8eefaaa837,SantaFe,0,296944875,-9,100,11.4051
03f5a379-8f11-4c6d-855d-965fea42d138,SantaFe,1,2067662834,-8,99,10.6311
d47b3a99-18d0-4fb2-a88b-0db70244777d,SantaFe,2,788064041,-7,100,12.8774
14a25442-dcd3-4541-8bd1-f3534ee81dae,SantaFe,3,682382056,-5,100,11.0302
108aa671-b84f-4177-a8e1-4fb5cc385de1,SantaFe,4,383271258,-5,100,11.3523
2045954f-d8aa-48ca-b2d4-9c7675342535,SantaFe,5,1539589387,-9,99,11.608
fdee3ed2-c8d8-451b-958e-93f3a8c452fc,SantaFe,6,1268978423,-8,100,11.4037
d82b9aa7-3ad6-4cbc-aeb7-b4a83310ed15,SantaFe,7,613803737,-8,100,11.0533
951e214e-9c68-4a00-a70b-71d7d9947c8c,SantaFe,8,1602638554,-8,99,11.6479
c16b50ea-16f2-4eee-987f-c87ffcf9a43d,SantaFe,9,510827046,-7,100,12.4231
1d2e6b87-6642-4ad5-bf48-d8735902def3,SantaFe,10,1734191771,-6,100,9.6504
58112ff4-dae4-4215-a45a-ade653e7f648,SantaFe,11,299377210,-7,99,9.9758
5fe6aff7-7fad-493a-ab0c-4b3e7e2d92dd,SantaFe,12,241435457,-8,100,11.4683
a2ffb977-d491-49f8-a91a-796a580844ee,SantaFe,13,691847018,-8,99,12.2143
9c0d2d74-12af-4c3e-8bdc-dedf7fcbbf09,SantaFe,14,1944022017,-8,100,12.3849
521df52f-5c19-44f1-9ad0-6df4c5dddcfd,SantaFe,15,1977276333,-7,100,10.5708
014aad83-89fd-4d27-9e21-8d71a045aeff,SantaFe,16,803254038,-8,99,11.7917
975a97bc-59ef-417e-904a-c3373d23e37b,SantaFe,17,227868039,-8,100,11.9547
ac3217b9-a263-4c62-ae0a-087aaded3e9f,SantaFe,18,1372443532,-8,99,10.8024
c266edde-b0b1-4f2e-b882-ffd613cc1413,SantaFe,19,42047581,-8,100,11.4497
70b2783c-8898-41ff-84bf-930189ad978e,SantaFe,20,39393440,-12,100,11.8401
98d1071c-ae4f-4772-a1a0-5bcfae9416b0,SantaFe,21,817035926,-11,100,13.6149
05a57ed9-1c77-4eca-91d1-98712b1975c8,SantaFe,22,1859682640,-5,100,11.3526
e1cf1ba4-4847-492b-b499-1187918ca50d,SantaFe,23,21166830,-5,99,11.0405
60b0c2b8-3b5a-4c9d-a9ee-b7f7af891d42,SantaFe,24,861625768,-7,98,12.294
90d001ce-1e57-444e-beaf-7e52a7323921,SantaFe,25,1593165056,-8,99,11.1689
83ab7d7a-0c89-4ca9-bfe9-91f8830ab3ff,SantaFe,26,748466809,-9,99,12.3246
b37d6d0a-ac6b-40ef-a78a-fcdd14e188e1,SantaFe,27,543714993,-13,100,11.8681
186dc8de-f41c-41f1-b995-b371e1b91bb4,SantaFe,28,1512653213,-4,100,11.8805
56af8dfb-9e62-4877-bc9d-8567dc6e30e2,SantaFe,29,22589886,-6,99,11.7853
