benchmark,algorithm,best_mean,best_median,best_std,best_25,best_75,len_final_mean,len_final_median,len_final_std,len_final_25,len_final_75,cpu_s_mean,cpu_s_median,cpu_s_std,cpu_s_25,cpu_s_75,delta_len_mean,delta_len_median,delta_len_std,delta_len_25,delta_len_75
Ackley,CMA_ES,3.0211072999999997,2.45e-05,16.427832782841506,1.2499999999999999e-06,0.004288,30.0,31.0,3.2377088536015175,28.0,32.0,3.0609733333333335,3.1348,0.23887051597528497,2.8911,3.195375,2.533333333333333,2.0,1.9605300714142442,1.0,4.0
Ackley,DE,0.09346093333333334,0.0679235,0.08239423626600025,0.0462405,0.10746075,32.0,32.0,0.0,32.0,32.0,14.326780000000001,14.428799999999999,0.7694613733667517,13.712,14.912949999999999,2.0,2.0,0.0,2.0,2.0
Ackley,GA,0.09448776666666667,0.0852755,0.043781265032434014,0.0589965,0.11589925,29.433333333333334,29.0,1.4546793303071954,28.0,30.0,161.21882666666667,127.5185,64.38421956779277,108.03465,213.2917,1.3666666666666667,1.5,0.718395402284138,1.0,2.0
Griewank,CMA_ES,4.3342684,0.0,16.543013948833277,0.0,8.5e-06,30.033333333333335,30.0,2.988291327409572,28.0,32.0,4.532983333333333,4.49255,0.32985970380663704,4.273225,4.7671,2.3666666666666667,2.0,1.7710961603468633,1.0,3.0
Griewank,DE,0.0018750000000000001,0.0004435,0.0033284677638776095,0.00019475,0.00191875,32.0,32.0,0.0,32.0,32.0,22.241433333333337,21.91955,1.8646367373563293,21.294775,23.034125,2.0,2.0,0.0,2.0,2.0
Griewank,GA,0.0007449666666666667,0.0005430000000000001,0.0006624007268930988,0.00030599999999999996,0.001006,29.366666666666667,29.0,1.3514572807192968,28.0,30.0,335.0451366666667,317.12135,42.287787909240286,311.44737499999997,329.31095,1.2333333333333334,1.0,0.8172001541568766,1.0,2.0
Knapsack,CMA_ES,-472.1,-473.0,40.15689059263634,-495.0,-456.0,18.166666666666668,18.0,3.0295479728072023,16.0,20.0,2.5223999999999998,2.5166,0.22451977257217692,2.398575,2.701575,2.9,2.5,1.98876152763299,1.25,4.0
Knapsack,DE,-508.0,-508.0,0.0,-508.0,-508.0,79.0,78.0,7.124508452493767,73.25,83.0,11.029486666666665,10.943349999999999,0.4603482735055494,10.7957,11.456175,59.0,58.0,7.124508452493769,53.25,63.0
Knapsack,GA,-569.0,-569.0,0.0,-569.0,-569.0,75.03333333333333,77.0,22.444542126413893,61.0,98.25,131.24683666666667,128.6801,5.7145121308329605,127.82325,131.688975,55.03333333333333,57.0,22.444542126413893,41.0,78.25
Koza,CMA_ES,8.4028859,0.006428,21.814956566403012,0.0026072499999999998,0.03721725,9.833333333333334,10.5,3.384379261918756,7.25,12.5,18.972793333333335,18.732,3.0289219387413233,16.752625,20.982975,2.7,3.0,1.9852907369815707,1.0,4.0
Koza,DE,4.189636666666667,1.8489365,7.009086660657477,1.14062175,4.01269625,11.633333333333333,12.0,0.7648904962570575,11.25,12.0,243.04909333333333,238.7116,18.554265973251564,233.2551,253.579275,1.6333333333333333,2.0,0.7648904962570575,1.25,2.0
Koza,GA,0.0329647,0.024597,0.026797781461377058,0.016474500000000003,0.042720499999999995,10.633333333333333,11.0,1.2452207485597395,10.0,11.75,1742.5944433333332,1787.2929,235.4741217652951,1708.641025,1849.369475,1.1666666666666667,1.0,0.7466399831028446,1.0,2.0
Koza,GE,1.3813596,1.273324,0.5735274274448946,1.273324,1.8090030000000001,10.8,11.0,1.4239333576037019,10.0,12.0,5145.49768,5177.0984,837.5279056819478,4747.243275,5762.341525,1.4666666666666666,2.0,0.6814453874610598,1.0,2.0
Koza,GP,0.010257500000000001,0.0,0.04296900454317081,0.0,0.00168475,175.2,16.0,198.63350413643022,15.0,378.0,199.07188666666667,198.928,58.41364637268939,166.617,240.27862499999998,165.2,6.0,198.63350413643022,5.0,368.0
Parity,CMA_ES,6.666666666666667,0.0,18.113308754145073,0.0,2.0,65.23333333333333,65.0,2.872981550324637,63.0,67.75,12.68617,12.615649999999999,0.9239545022198938,12.151,12.962800000000001,2.5,3.0,1.833594547744196,1.0,3.75
Parity,DE,9.066666666666666,9.0,1.5297809925141153,8.0,10.0,65.83333333333333,66.0,0.3790490217894492,66.0,66.0,27.22302,27.56995,2.217372188036071,27.212125,28.2213,1.8333333333333333,2.0,0.37904902178945193,2.0,2.0
Parity,GA,0.7666666666666667,1.0,0.8172001541568767,0.0,1.0,65.8,66.0,0.40683810217248634,66.0,66.0,515.4930266666667,511.09045000000003,15.734560173332756,508.1588,515.4835,1.8,2.0,0.4068381021724863,2.0,2.0
Parity,GE,17.333333333333332,17.0,8.226673745782085,16.0,24.0,64.03333333333333,64.0,1.473521078171633,63.0,65.0,497.78784333333334,471.04245000000003,223.6642860686412,371.02054999999996,549.4485999999999,1.2333333333333334,1.0,0.773854362727667,1.0,2.0
Parity,GP,8.033333333333333,5.0,8.01930142857212,0.0,16.0,236.5,262.5,147.39174870462355,128.0,319.75,272.51002,251.172,76.26278851630295,216.278275,317.474475,186.7,198.5,128.24899004778115,64.0,255.75
Rastrigin,CMA_ES,36.1801233,34.833344,15.711452718475028,26.11958325,40.79328975,29.666666666666668,30.0,3.0775419359963387,28.0,31.75,2.863446666666667,2.8572499999999996,0.19119127943850722,2.737725,2.9677,2.4,2.0,1.904622326577254,1.0,4.0
Rastrigin,DE,22.776947033333332,20.3791245,6.894416720980039,18.76694475,27.344032249999998,31.233333333333334,31.0,0.8583598366625748,31.0,32.0,10.280566666666665,10.11825,1.250510528939483,9.244674999999999,10.7024,1.3666666666666667,1.0,0.6149478998583782,1.0,2.0
Rastrigin,GA,1.9763741666666665,1.1836785,2.0960478912555485,0.5782435,2.7673164999999997,28.333333333333332,28.0,0.758098043578903,28.0,28.0,181.78365333333335,174.35250000000002,19.306935749187765,164.2241,206.284,1.7333333333333334,2.0,0.5832922809856746,2.0,2.0
SantaFe,CMA_ES,-31.433333333333334,-33.0,13.579099897378637,-37.75,-28.5,97.46666666666667,97.5,1.6553639735893353,96.0,99.0,23.977986666666666,23.95615,1.0858873183217295,23.107,24.913275,2.533333333333333,2.5,1.6553639735893344,1.0,4.0
SantaFe,DE,-17.333333333333332,-17.0,1.02833421822276,-18.0,-16.25,98.4,98.0,0.5632418479750435,98.0,99.0,31.80326,32.171350000000004,2.001402218893819,31.8506,32.488975,1.6,2.0,0.563241847975046,1.0,2.0
SantaFe,GA,-35.833333333333336,-34.0,7.6567902401469246,-41.25,-31.0,99.6,100.0,0.621455466265865,99.0,100.0,594.6481366666667,596.09185,22.557185973913313,577.309025,607.2705,0.4,0.0,0.6214554662658653,0.0,1.0
SantaFe,GE,-7.966666666666667,-8.0,1.9561280074701644,-8.0,-7.0,99.66666666666667,100.0,0.546672273590532,99.0,100.0,12.942123333333333,13.8649,2.4932154084404847,9.999324999999999,14.767675,0.3333333333333333,0.0,0.546672273590534,0.0,1.0
SantaFe,GP,-10.57,-3.6500000000000004,11.300813214558712,-16.775,-2.7,12.966666666666667,10.0,11.544466754410017,3.0,20.75,63.314236666666666,35.0492,51.519657876383874,34.57835,57.886625,87.03333333333333,90.0,11.544466754410019,79.25,97.0
Sphere,CMA_ES,2.260097033333333,0.0,10.925599935555391,0.0,0.05093025,29.3,29.0,3.0189059447833535,27.0,31.75,2.0716166666666664,2.0767499999999997,0.14634856851280487,1.96535,2.1588,2.566666666666667,3.0,1.6750364552560586,1.0,4.0
Sphere,DE,0.01750876666666667,0.011623999999999999,0.020830195414653307,0.00557925,0.0180985,32.0,32.0,0.0,32.0,32.0,4.97209,4.9948999999999995,0.38519418242285774,4.670325,5.1998,2.0,2.0,0.0,2.0,2.0
Sphere,GA,0.029779666666666666,0.0269905,0.016361812116850824,0.017711499999999998,0.03686425,28.533333333333335,28.0,0.9732042112432564,28.0,29.0,114.23504333333334,109.36145,11.709102411097719,106.0811,115.87815,1.6666666666666667,2.0,0.5466722735905339,1.0,2.0
